Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
35,100073355,Yellow,21-28,21,1,PAM,-,-,Ensembl:ENSOANG00000005452,10,peptidylglycine alpha-amidating monooxygenase,protein-coding,peptidyl-glycine alpha-amidating monooxygenase,Animal
36,100073356,Yellow,13-20,19,1,FBXO8,-,-,Ensembl:ENSOANG00000005600,12,F-box protein 8,protein-coding,F-box only protein 8,Animal
37,100073357,Red,13-20,15,1,CLK4,-,-,Ensembl:ENSOANG00000010230,X2,CDC like kinase 4,protein-coding,dual specificity protein kinase CLK4,Animal
38,100073358,Red,13-20,14,0,IFT81,-,-,Ensembl:ENSOANG00000004780,2,intraflagellar transport 81,protein-coding,intraflagellar transport protein 81 homolog|intraflagellar transport 81 homolog,Animal
39,100073359,Red,21-28,21,1,RBBP6,-,-,Ensembl:ENSOANG00000007673,2,"RB binding protein 6, ubiquitin ligase",protein-coding,E3 ubiquitin-protein ligase RBBP6,Animal
40,100073360,Yellow,13-20,18,1,MRTFB,-,MKL2,Ensembl:ENSOANG00000007151,2,myocardin related transcription factor B,protein-coding,myocardin-related transcription factor B|MKL/myocardin-like 2|MKL1/myocardin like 2,Animal
41,100073361,Yellow,21-28,27,1,PPHLN1,-,-,Ensembl:ENSOANG00000041653,2,periphilin 1,protein-coding,periphilin-1,Animal
42,100073362,Yellow,21-28,26,1,NAV2,-,-,Ensembl:ENSOANG00000011288,3,neuron navigator 2,protein-coding,neuron navigator 2,Animal
43,100073363,Yellow,21-28,26,1,FSHB,-,-,Ensembl:ENSOANG00000038640,3,follicle stimulating hormone subunit beta,protein-coding,"follitropin subunit beta|follicle stimulating hormone beta subunit|follicle stimulating hormone, beta polypeptide",Animal
44,100073364,Yellow,13-20,18,1,SMAD2,-,-,Ensembl:ENSOANG00000001971,3,SMAD family member 2,protein-coding,mothers against decapentaplegic homolog 2,Animal
45,100073365,Red,21-28,27,1,ZBTB2,-,-,-,2,zinc finger and BTB domain containing 2,protein-coding,zinc finger and BTB domain-containing protein 2,Animal
46,100073366,Yellow,13-20,17,1,ALDOA,-,-,Ensembl:ENSOANG00000008135,2,"aldolase, fructose-bisphosphate A",protein-coding,"fructose-bisphosphate aldolase A|aldolase A, fructose-bisphosphate",Animal
47,100073367,Yellow,21-28,28,1,MYMK,-,TMEM8C,Ensembl:ENSOANG00000040363,4,"myomaker, myoblast fusion factor",protein-coding,protein myomaker|transmembrane protein 8C,Animal
48,100073368,Yellow,13-20,14,0,MTERF3,-,MTERFD1,Ensembl:ENSOANG00000001415,4,mitochondrial transcription termination factor 3,protein-coding,"transcription termination factor 3, mitochondrial|MTERF domain containing 1",Animal
49,100073369,Green,13-20,15,0,STXBP3,-,-,Ensembl:ENSOANG00000005361,4,syntaxin binding protein 3,protein-coding,syntaxin-binding protein 3,Animal
50,100073370,Yellow,21-28,22,0,LDB2,-,-,Ensembl:ENSOANG00000004866,4,LIM domain binding 2,protein-coding,LIM domain-binding protein 2,Animal
51,100073371,Green,21-28,24,0,DUSP26,-,-,Ensembl:ENSOANG00000002390,5,dual specificity phosphatase 26,protein-coding,dual specificity protein phosphatase 26|dual specificity phosphatase 26 (putative),Animal
52,100073372,Yellow,21-28,21,1,LOC100073372,-,-,Ensembl:ENSOANG00000002030,6,wiskott-Aldrich syndrome protein family member 3-like,protein-coding,wiskott-Aldrich syndrome protein family member 3-like,Animal
53,100073373,Yellow,21-28,24,1,NYAP2,-,-,Ensembl:ENSOANG00000011214,7,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2,protein-coding,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2,Animal
54,100073374,Yellow,21-28,23,1,AQP4,-,-,Ensembl:ENSOANG00000009069,7,aquaporin 4,protein-coding,aquaporin-4,Animal
55,100073375,Yellow,13-20,20,1,ORNANAV1R-PS3889,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3889 pseudogene,pseudo,-,Animal
56,100073381,Red,13-20,18,1,SPTBN4,-,-,-,5,"spectrin beta, non-erythrocytic 4",protein-coding,"spectrin beta chain, non-erythrocytic 4",Animal
57,100073382,Yellow,13-20,20,1,MFRP,-,-,Ensembl:ENSOANG00000039682,11,membrane frizzled-related protein,protein-coding,membrane frizzled-related protein,Animal
58,100073384,Yellow,21-28,25,1,CPZ,-,-,Ensembl:ENSOANG00000048753,4,carboxypeptidase Z,protein-coding,carboxypeptidase Z,Animal
59,100073385,Red,21-28,21,0,SLC12A4,-,-,Ensembl:ENSOANG00000009470,X1,solute carrier family 12 member 4,protein-coding,"solute carrier family 12 member 4|solute carrier family 12 (potassium/chloride transporter), member 4",Animal
60,100073387,Yellow,13-20,16,1,DIO2,-,-,-,1,iodothyronine deiodinase 2,protein-coding,"LOW QUALITY PROTEIN: type II iodothyronine deiodinase|deiodinase, iodothyronine type II",Animal
61,100073390,Yellow,13-20,16,0,HAS2,-,-,Ensembl:ENSOANG00000006489,4,hyaluronan synthase 2,protein-coding,hyaluronan synthase 2,Animal
62,100073391,Yellow,21-28,26,1,RRM1,-,-,Ensembl:ENSOANG00000010680,2,ribonucleotide reductase catalytic subunit M1,protein-coding,ribonucleoside-diphosphate reductase large subunit|ribonucleotide reductase M1,Animal
63,100073392,Yellow,13-20,13,1,SC5D,-,-,Ensembl:ENSOANG00000005098,11,sterol-C5-desaturase,protein-coding,lathosterol oxidase,Animal
64,100073393,Yellow,21-28,26,1,CSF1,-,-,Ensembl:ENSOANG00000006943,7,colony stimulating factor 1,protein-coding,macrophage colony-stimulating factor 1|colony stimulating factor 1 (macrophage),Animal
65,100073394,Yellow,21-28,23,1,ARIH2,-,-,Ensembl:ENSOANG00000041696,X1,ariadne RBR E3 ubiquitin protein ligase 2,protein-coding,E3 ubiquitin-protein ligase ARIH2|ariadne homolog 2,Animal
66,100073395,Green,21-28,25,1,GTF3C6,-,-,-,19,general transcription factor IIIC subunit 6,protein-coding,"general transcription factor 3C polypeptide 6|general transcription factor IIIC, polypeptide 6, alpha 35kDa",Animal
67,100073396,Red,21-28,22,0,PSMA7,-,-,Ensembl:ENSOANG00000003369,8,proteasome 20S subunit alpha 7,protein-coding,"proteasome subunit alpha type-7|proteasome (prosome, macropain) subunit, alpha type, 7|proteasome subunit alpha 7",Animal
68,100073397,Red,21-28,21,1,FLRT2,-,-,Ensembl:ENSOANG00000009185,1,fibronectin leucine rich transmembrane protein 2,protein-coding,leucine-rich repeat transmembrane protein FLRT2,Animal
69,100073398,Green,21-28,21,1,TRIP12,-,-,-,1,thyroid hormone receptor interactor 12,protein-coding,E3 ubiquitin-protein ligase TRIP12,Animal
70,100073399,Yellow,21-28,21,1,TSC22D3,-,-,Ensembl:ENSOANG00000037542,6,TSC22 domain family member 3,protein-coding,TSC22 domain family protein 3,Animal
71,100073400,Green,5-12,8,1,LRRFIP2,-,-,Ensembl:ENSOANG00000015304,21,LRR binding FLII interacting protein 2,protein-coding,leucine-rich repeat flightless-interacting protein 2,Animal
72,100073401,Yellow,21-28,22,1,SORT1,-,-,Ensembl:ENSOANG00000015499,7,sortilin 1,protein-coding,sortilin,Animal
73,100073402,Yellow,21-28,25,1,APAF1,-,-,Ensembl:ENSOANG00000005592,14,apoptotic peptidase activating factor 1,protein-coding,apoptotic protease-activating factor 1,Animal
74,100073404,Green,5-12,11,1,LOC100073404,-,-,Ensembl:ENSOANG00000014340,3,membrane-spanning 4-domains subfamily A member 8-like,protein-coding,membrane-spanning 4-domains subfamily A member 8-like,Animal
75,100073405,Yellow,13-20,16,1,RUNX1T1,-,-,Ensembl:ENSOANG00000001913,4,RUNX1 partner transcriptional co-repressor 1,protein-coding,"protein CBFA2T1|RUNX1 translocation partner 1|runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",Animal
76,100073406,Yellow,5-12,10,1,LOC100073406,-,-,Ensembl:ENSOANG00000011544,6,dynamin-1-like protein,protein-coding,dynamin-1-like protein,Animal
77,100073407,Green,21-28,25,1,HNRNPD,-,-,Ensembl:ENSOANG00000001932,10,heterogeneous nuclear ribonucleoprotein D,protein-coding,"heterogeneous nuclear ribonucleoprotein D0|heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",Animal
78,100073409,Yellow,21-28,23,0,CEBPG,-,-,Ensembl:ENSOANG00000008143,11,CCAAT enhancer binding protein gamma,protein-coding,"CCAAT/enhancer-binding protein gamma|CCAAT/enhancer binding protein (C/EBP), gamma",Animal
79,100073411,Yellow,21-28,27,1,TRMT44,-,-,-,4,tRNA methyltransferase 44 homolog,protein-coding,probable tRNA (uracil-O(2)-)-methyltransferase,Animal
80,100073413,Green,21-28,25,1,CLIC1,-,-,Ensembl:ENSOANG00000051271,X5,chloride intracellular channel 1,protein-coding,chloride intracellular channel protein 1,Animal
81,100073414,Red,21-28,28,1,ANGPT2,-,-,Ensembl:ENSOANG00000005391,X1,angiopoietin 2,protein-coding,angiopoietin-2,Animal
82,100073415,Yellow,13-20,17,1,EBF1,-,-,Ensembl:ENSOANG00000012338,X1,EBF transcription factor 1,protein-coding,LOW QUALITY PROTEIN: transcription factor COE1|early B cell factor 1,Animal
83,100073416,Green,13-20,18,1,VGLL4,-,-,Ensembl:ENSOANG00000014429,X1,vestigial like family member 4,protein-coding,transcription cofactor vestigial-like protein 4,Animal
84,100073417,Green,13-20,19,1,TRPM3,-,-,Ensembl:ENSOANG00000005022,X5,transient receptor potential cation channel subfamily M member 3,protein-coding,transient receptor potential cation channel subfamily M member 3,Animal
85,100073418,Yellow,21-28,21,1,SPATA6L,-,-,Ensembl:ENSOANG00000036739,X5,spermatogenesis associated 6 like,protein-coding,spermatogenesis associated 6-like protein|uncharacterized protein C9orf68 homolog,Animal
86,100073419,Green,13-20,16,1,LINGO2,-,-,Ensembl:ENSOANG00000000336,X5,leucine rich repeat and Ig domain containing 2,protein-coding,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,Animal
87,100073421,Yellow,21-28,27,1,GREB1,-,-,Ensembl:ENSOANG00000002667,1,growth regulating estrogen receptor binding 1,protein-coding,protein GREB1|growth regulation by estrogen in breast cancer 1,Animal
88,100073422,Yellow,13-20,19,1,MACIR,-,C10H5orf30,Ensembl:ENSOANG00000005457,10,macrophage immunometabolism regulator,protein-coding,UNC119-binding protein C5orf30 homolog|UPF0684 protein C5orf30 homolog|chromosome 10 C5orf30 homolog,Animal
89,100073423,Red,21-28,25,1,WDR17,-,-,Ensembl:ENSOANG00000003590,12,WD repeat domain 17,protein-coding,WD repeat-containing protein 17,Animal
90,100073424,Red,21-28,26,1,MAPK9,-,-,Ensembl:ENSOANG00000010228,X2,mitogen-activated protein kinase 9,protein-coding,mitogen-activated protein kinase 9,Animal
91,100073425,Yellow,13-20,14,1,RPL6,-,-,Ensembl:ENSOANG00000004808,2,ribosomal protein L6,protein-coding,60S ribosomal protein L6,Animal
92,100073426,Green,13-20,17,1,C2H7orf26,-,-,-,2,chromosome 2 C7orf26 homolog,protein-coding,LOW QUALITY PROTEIN: uncharacterized protein C7orf26 homolog,Animal
93,100073427,Red,13-20,19,0,EMP2,-,-,Ensembl:ENSOANG00000041230,2,epithelial membrane protein 2,protein-coding,epithelial membrane protein 2,Animal
94,100073429,Red,13-20,20,1,ARL14EP,-,-,Ensembl:ENSOANG00000010707,3,ADP ribosylation factor like GTPase 14 effector protein,protein-coding,ARL14 effector protein|ADP-ribosylation factor-like 14 effector protein|uncharacterized protein C11orf46 homolog,Animal
95,100073430,Yellow,21-28,28,1,PIAS2,-,-,Ensembl:ENSOANG00000012017,3,protein inhibitor of activated STAT 2,protein-coding,E3 SUMO-protein ligase PIAS2,Animal
96,100073431,Red,21-28,28,1,PRKG1,-,-,-,3,protein kinase cGMP-dependent 1,protein-coding,"cGMP-dependent protein kinase 1|protein kinase, cGMP-dependent, type I",Animal
97,100073433,Red,5-12,5,1,VAV2,-,-,Ensembl:ENSOANG00000002845,4,vav guanine nucleotide exchange factor 2,protein-coding,guanine nucleotide exchange factor VAV2|vav 2 guanine nucleotide exchange factor,Animal
98,100073434,Green,5-12,10,1,NDUFAF6,-,-,Ensembl:ENSOANG00000046530,4,NADH:ubiquinone oxidoreductase complex assembly factor 6,protein-coding,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",Animal
99,100073435,Green,13-20,14,0,AKNAD1,-,-,Ensembl:ENSOANG00000005360,4,AKNA domain containing 1,protein-coding,protein AKNAD1,Animal
100,100073436,Yellow,21-28,26,0,BOD1L1,-,BOD1L,Ensembl:ENSOANG00000005806,4,biorientation of chromosomes in cell division 1 like 1,protein-coding,LOW QUALITY PROTEIN: biorientation of chromosomes in cell division protein 1-like 1|biorientation of chromosomes in cell division protein 1-like 1,Animal
101,100073437,Yellow,21-28,24,1,LZTS1,-,-,Ensembl:ENSOANG00000010581,5,leucine zipper tumor suppressor 1,protein-coding,"leucine zipper putative tumor suppressor 1|leucine zipper, putative tumor suppressor 1",Animal
102,100073438,Red,5-12,8,1,RLIM,-,-,Ensembl:ENSOANG00000002027,6,"ring finger protein, LIM domain interacting",protein-coding,E3 ubiquitin-protein ligase RLIM,Animal
103,100073439,Yellow,21-28,25,1,STC2,-,-,Ensembl:ENSOANG00000041282,X1,stanniocalcin 2,protein-coding,stanniocalcin-2,Animal
104,100073440,Red,21-28,27,1,NXN,-,-,Ensembl:ENSOANG00000040222,17,nucleoredoxin,protein-coding,nucleoredoxin,Animal
105,100073443,Red,13-20,17,1,GFPT1,-,-,Ensembl:ENSOANG00000022684,5,glutamine--fructose-6-phosphate transaminase 1,protein-coding,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Animal
106,100073444,Green,21-28,25,1,GHRHR,-,-,-,13,growth hormone releasing hormone receptor,protein-coding,growth hormone-releasing hormone receptor,Animal
107,100073445,Red,21-28,28,1,LUC7L3,-,-,Ensembl:ENSOANG00000012492,15,LUC7 like 3 pre-mRNA splicing factor,protein-coding,LOW QUALITY PROTEIN: luc7-like protein 3|LUC7-like 3,Animal
108,100073447,Yellow,13-20,15,1,ADGRA1,-,GPR123,Ensembl:ENSOANG00000037554,3,adhesion G protein-coupled receptor A1,protein-coding,adhesion G protein-coupled receptor A1|G protein-coupled receptor 123,Animal
109,100073448,Yellow,13-20,15,1,MYF6,-,-,Ensembl:ENSOANG00000004854,14,myogenic factor 6,protein-coding,myogenic factor 6|myogenic factor 6 (herculin),Animal
110,100073449,Green,21-28,21,1,CTRL,-,-,Ensembl:ENSOANG00000013841,X1,chymotrypsin like,protein-coding,chymotrypsin-like protease CTRL-1,Animal
111,100073450,Yellow,21-28,25,1,LOC100073450,-,-,Ensembl:ENSOANG00000003781,X1,cullin-associated NEDD8-dissociated protein 1-like,protein-coding,cullin-associated NEDD8-dissociated protein 1-like,Animal
112,100073451,Yellow,13-20,20,1,YWHAH,-,-,Ensembl:ENSOANG00000003572,2,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,protein-coding,14-3-3 protein eta,Animal
113,100073452,Red,21-28,25,1,ABCC5,-,-,Ensembl:ENSOANG00000008866,1,ATP binding cassette subfamily C member 5,protein-coding,"multidrug resistance-associated protein 5|ATP-binding cassette, sub-family C (CFTR/MRP), member 5",Animal
114,100073453,Yellow,21-28,26,1,IP6K2,-,-,Ensembl:ENSOANG00000001845,X1,inositol hexakisphosphate kinase 2,protein-coding,inositol hexakisphosphate kinase 2,Animal
115,100073454,Red,21-28,22,1,OSBPL2,-,-,Ensembl:ENSOANG00000036569,8,oxysterol binding protein like 2,protein-coding,oxysterol-binding protein-related protein 2,Animal
116,100073455,Yellow,5-12,7,1,ARPP21,-,-,-,21,cAMP regulated phosphoprotein 21,protein-coding,"LOW QUALITY PROTEIN: cAMP-regulated phosphoprotein 21|cAMP-regulated phosphoprotein, 21kDa",Animal
117,100073457,Yellow,13-20,17,1,SYPL2,-,-,Ensembl:ENSOANG00000011500,7,synaptophysin like 2,protein-coding,synaptophysin-like protein 2,Animal
118,100073458,Yellow,21-28,24,1,SLC17A8,-,-,Ensembl:ENSOANG00000005584,14,solute carrier family 17 member 8,protein-coding,"vesicular glutamate transporter 3|solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8|solute carrier family 17 (vesicular glutamate transporter), member 8",Animal
119,100073459,Yellow,21-28,27,0,TMEM132A,-,-,Ensembl:ENSOANG00000049970,3,transmembrane protein 132A,protein-coding,transmembrane protein 132A,Animal
120,100073460,Red,21-28,21,1,OTUD6B,-,-,Ensembl:ENSOANG00000048050,4,OTU deubiquitinase 6B,protein-coding,deubiquitinase OTUD6B|OTU domain containing 6B,Animal
121,100073461,Yellow,13-20,14,1,G6PD,-,-,Ensembl:ENSOANG00000000365,6,glucose-6-phosphate dehydrogenase,protein-coding,glucose-6-phosphate 1-dehydrogenase,Animal
122,100073462,Red,21-28,28,1,LAMP3,-,-,Ensembl:ENSOANG00000011252,1,lysosomal associated membrane protein 3,protein-coding,lysosome-associated membrane glycoprotein 3,Animal
123,100073463,Red,21-28,27,1,BAG2,-,-,Ensembl:ENSOANG00000045205,1,BAG cochaperone 2,protein-coding,BAG family molecular chaperone regulator 2|BCL2 associated athanogene 2,Animal
124,100073464,Yellow,13-20,16,1,SDHAF2,-,-,Ensembl:ENSOANG00000042499,3,succinate dehydrogenase complex assembly factor 2,protein-coding,"succinate dehydrogenase assembly factor 2, mitochondrial",Animal
125,100073465,Red,13-20,16,1,GARRE1,-,KIAA0355,Ensembl:ENSOANG00000009579,11,granule associated Rac and RHOG effector 1,protein-coding,uncharacterized protein KIAA0355 homolog,Animal
126,100073466,Green,5-12,10,1,LOC100073466,-,-,Ensembl:ENSOANG00000038075,2,"dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase-like",protein-coding,"dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase-like",Animal
127,100073467,Red,21-28,22,1,FGD4,-,-,Ensembl:ENSOANG00000004404,2,"FYVE, RhoGEF and PH domain containing 4",protein-coding,"FYVE, RhoGEF and PH domain-containing protein 4",Animal
128,100073468,Red,13-20,17,1,MSH5,-,-,Ensembl:ENSOANG00000004089,X5,mutS homolog 5,protein-coding,mutS protein homolog 5,Animal
129,100073470,Red,21-28,28,1,NFATC3,-,-,Ensembl:ENSOANG00000021344,X1,nuclear factor of activated T cells 3,protein-coding,"nuclear factor of activated T-cells, cytoplasmic 3|nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",Animal
130,100073471,Yellow,13-20,18,0,C9orf72,-,CX5H9orf72,Ensembl:ENSOANG00000000337,X5,C9orf72-SMCR8 complex subunit,protein-coding,guanine nucleotide exchange C9orf72 homolog,Animal
131,100073473,Red,13-20,13,1,ANAPC1,-,-,Ensembl:ENSOANG00000040996,1,anaphase promoting complex subunit 1,protein-coding,anaphase-promoting complex subunit 1,Animal
132,100073474,Yellow,13-20,19,1,ATP6V1C2,-,-,Ensembl:ENSOANG00000014499,1,ATPase H+ transporting V1 subunit C2,protein-coding,"V-type proton ATPase subunit C 2|ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2",Animal
133,100073475,Green,21-28,28,0,FARP1,-,-,Ensembl:ENSOANG00000005461,10,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",protein-coding,"FERM, ARHGEF and pleckstrin domain-containing protein 1|FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)",Animal
134,100073476,Yellow,13-20,20,1,CANX,-,-,Ensembl:ENSOANG00000013590,X2,calnexin,protein-coding,calnexin,Animal
135,100073477,Yellow,21-28,27,1,GATM,-,-,Ensembl:ENSOANG00000006872,5,glycine amidinotransferase,protein-coding,"glycine amidinotransferase, mitochondrial|glycine amidinotransferase (L-arginine:glycine amidinotransferase)",Animal
136,100073478,Yellow,13-20,20,0,ERN2,-,-,-,2,endoplasmic reticulum to nucleus signaling 2,protein-coding,serine/threonine-protein kinase/endoribonuclease IRE2,Animal
137,100073479,Red,13-20,13,1,PRICKLE1,-,-,Ensembl:ENSOANG00000011364,2,prickle planar cell polarity protein 1,protein-coding,prickle-like protein 1|prickle homolog 1,Animal
138,100073480,Red,13-20,13,1,NADSYN1,-,-,Ensembl:ENSOANG00000011297,3,NAD synthetase 1,protein-coding,glutamine-dependent NAD(+) synthetase,Animal
139,100073481,Yellow,21-28,23,1,MPPED2,-,-,Ensembl:ENSOANG00000028269,3,metallophosphoesterase domain containing 2,protein-coding,metallophosphoesterase MPPED2,Animal
140,100073482,Green,13-20,19,1,ST8SIA5,-,-,-,3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",protein-coding,"LOW QUALITY PROTEIN: alpha-2,8-sialyltransferase 8E",Animal
141,100073483,Green,5-12,5,1,SYNE1,-,-,Ensembl:ENSOANG00000015557,2,spectrin repeat containing nuclear envelope protein 1,protein-coding,nesprin-1,Animal
142,100073484,Green,21-28,24,1,DKK1,-,-,Ensembl:ENSOANG00000007031,3,dickkopf WNT signaling pathway inhibitor 1,protein-coding,dickkopf-related protein 1,Animal
143,100073485,Yellow,21-28,23,1,EZH2,-,-,Ensembl:ENSOANG00000000279,4,enhancer of zeste 2 polycomb repressive complex 2 subunit,protein-coding,histone-lysine N-methyltransferase EZH2|enhancer of zeste homolog 2,Animal
144,100073486,Yellow,13-20,14,0,GPSM2,-,-,Ensembl:ENSOANG00000005359,4,G protein signaling modulator 2,protein-coding,G-protein-signaling modulator 2,Animal
145,100073487,Yellow,13-20,14,1,LOC100073487,-,-,-,6,"cytochrome c oxidase subunit 7B, mitochondrial",protein-coding,"cytochrome c oxidase subunit 7B, mitochondrial",Animal
146,100073488,Red,13-20,14,1,GSDMA,-,-,-,11,gasdermin A,protein-coding,gasdermin-A,Animal
147,100073489,Yellow,13-20,16,0,ZMYND10,-,-,Ensembl:ENSOANG00000014319,X1,zinc finger MYND-type containing 10,protein-coding,zinc finger MYND domain-containing protein 10,Animal
148,100073490,Green,13-20,19,1,SLX4,-,-,Ensembl:ENSOANG00000009435,2,SLX4 structure-specific endonuclease subunit,protein-coding,structure-specific endonuclease subunit SLX4,Animal
